Dataset,Max_Gini_Index,Min_Gini_Index,Mean_Gini_Index,Median_Gini_Index,max_PPV,min_PPV,mean_PPV,median_PPV
StarLightCurves,0.8763862226517567,0.07494584537869997,0.4276876233134238,0.4221340972539732,1.0,0.12926829268292683,0.4865407914634145,0.4975609756097561
Strawberry,0.7723973237352992,0.07313910602864704,0.43721134473751805,0.43974842896159294,0.8835978835978836,0.2804232804232804,0.5137099441552947,0.4973544973544973
SwedishLeaf,0.7526491554760399,0.005079257458019848,0.2665574801975882,0.2867622401235369,0.9807692307692307,0.0,0.46500173076923085,0.4807692307692308
Symbols,0.7148006444836968,0.03722578498910378,0.3659325780485775,0.3617916883505057,0.909375,0.0,0.4650771249999999,0.49375
SyntheticControl,0.6896776342379725,0.0032640702486377293,0.23520173619298157,0.2528397694893733,1.0,0.0,0.4975685416666665,0.5
ToeSegmentation1,0.6665472754246342,0.027655009832503463,0.32576999051693806,0.32950296759122516,0.8699551569506726,0.053811659192825115,0.48570213004484303,0.49327354260089684
ToeSegmentation2,0.716352861319044,0.03585862320579691,0.38064863080533506,0.38791909779900163,0.8,0.1709090909090909,0.48186282828282834,0.4909090909090909
Trace,0.8941319501076112,0.07245711325780824,0.5341967512045164,0.5254621708259742,0.8597285067873304,0.09049773755656108,0.5011095022624434,0.502262443438914
TwoLeadECG,0.7406936782834321,0.022355972586946327,0.2848261003692041,0.2888651861053687,0.8333333333333334,0.015151515151515152,0.5004281949934124,0.5151515151515151
TwoPatterns,0.7853682114618428,0.013000611442987364,0.3360880644876413,0.33939232151699417,1.0,0.0,0.5003592115384617,0.5
UMD,0.8450135009234327,0.01375426296608706,0.33229793036009053,0.3139624169995402,0.9416666666666667,0.09166666666666666,0.5010868055555555,0.5
UWaveGestureLibraryAll,0.9804289411312648,0.09433946426282258,0.44950342252331593,0.432899933707692,0.8137384412153237,0.06869220607661823,0.494361066061993,0.4966974900924703
UWaveGestureLibraryX,0.9525095817346133,0.025478356631478127,0.370050038959708,0.3720344540740921,1.0,0.0,0.4989888613424619,0.4980237154150198
UWaveGestureLibraryY,0.9502315688218449,0.03315828208592253,0.3689804984074385,0.3699384230582576,1.0,0.0,0.49673371329757177,0.4980237154150198
UWaveGestureLibraryZ,0.9651606852516054,0.025932726635021774,0.37140303182126855,0.3728042847464896,1.0,0.0,0.4961625670525125,0.4980237154150198
Wafer,0.9543003821792501,0.008339679135259348,0.38837919862365794,0.3558049959810771,1.0,0.10655737704918032,0.5150459590163935,0.5081967213114754
Wine,0.8004958848111738,0.14959538732061062,0.5205787689593866,0.5283411259010811,0.6861702127659575,0.2393617021276596,0.4976327920865995,0.5
WordSynonyms,0.8115360914702643,0.016534625906413636,0.40130502299618914,0.4015825903202584,0.8611111111111112,0.0,0.4808573831321958,0.49074074074074076
Worms,0.9658892144876321,3.902508655118098e-06,0.37969756735101734,0.38231694825563345,1.0,0.0,0.49976596071209334,0.5
WormsTwoClass,0.9658892144876321,3.902508655118098e-06,0.37969756735101734,0.38231694825563345,1.0,0.0,0.49976596071209334,0.5
Yoga,0.7872492674917269,0.02051301658888427,0.34019475654111897,0.34362609120947657,0.7397660818713451,0.2046783625730994,0.49500383040935664,0.49707602339181284
